0,1,2,3,4,5,6
2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 National League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series
East,Team | Roster,W,L,T,WP,GB
East,Atlanta Braves,101,61,0,.623,-
East,New York Mets,101,61,0,.623,-
East,Philadelphia Phillies,87,75,0,.537,14.0
East,Miami Marlins,69,93,0,.426,32.0
East,Washington Nationals,55,107,0,.340,46.0
Central,Team | Roster,W,L,T,WP,GB
Central,St. Louis Cardinals,93,69,0,.574,-
Central,Milwaukee Brewers,86,76,0,.531,7.0
Central,Chicago Cubs,74,88,0,.457,19.0
Central,Cincinnati Reds,62,100,0,.383,31.0
Central,Pittsburgh Pirates,62,100,0,.383,31.0
West,Team | Roster,W,L,T,WP,GB
West,Los Angeles Dodgers,111,51,0,.685,-
West,San Diego Padres,89,73,0,.549,22.0
West,San Francisco Giants,81,81,0,.500,30.0
West,Arizona Diamondbacks,74,88,0,.457,37.0
West,Colorado Rockies,68,94,0,.420,43.0
N.L.,Team | Roster,W,L,T,WP,GB
2022 National League Standings,2022 National League Standings,2022 National League Standings,2022 National League Standings,2022 National League Standings,2022 National League Standings,2022 National League Standings
